,Dll_file,NAME,Parameters
96,Kernel32.dll,SuspendThread,handlehthread
97,Kernel32.dll,Thread32First,"handlehsnapshot,[in,out]lpthreadentry32lpte"
98,Kernel32.dll,Thread32Next,"handlehsnapshot,lpthreadentry32lpte"
99,Kernel32.dll,Toolhelp32ReadProcessMemory,"dwordth32processid,lpcvoidlpbaseaddress,lpvoidlpbuffer,size_tcbread,size_t*lpnumberofbytesread"
100,Kernel32.dll,VirtualAlloc,"[in,optional]lpvoidlpaddress,size_tdwsize,dwordflallocationtype,dwordflprotect"
101,Kernel32.dll,VirtualAllocEx,"handlehprocess,[in,optional]lpvoidlpaddress,size_tdwsize,dwordflallocationtype,dwordflprotect"
102,Kernel32.dll,VirtualProtect,"lpvoidlpaddress,size_tdwsize,dwordflnewprotect,pdwordlpfloldprotect"
103,Kernel32.dll,VirtualProtectEx,"handlehprocess,lpvoidlpaddress,size_tdwsize,dwordflnewprotect,pdwordlpfloldprotect"
104,Kernel32.dll,WriteProcessMemory,"handlehprocess,lpvoidlpbaseaddress,lpcvoidlpbuffer,size_tnsize,size_t*lpnumberofbyteswritten"
105,Kernel32.dll,VirtualAllocExNuma,"handlehprocess,[in,optional]lpvoidlpaddress,size_tdwsize,dwordflallocationtype,dwordflprotect,dwordnndpreferred"
106,Kernel32.dll,VirtualAlloc2,"[in,optional]handleprocess,[in,optional]pvoidbaseaddress,size_tsize,ulongallocationtype,ulongpageprotection,[in,out,optional]mem_extended_parameter*extendedparameters,ulongparametercount"
107,Kernel32.dll,VirtualAlloc2FromApp,"[in,optional]handleprocess,[in,optional]pvoidbaseaddress,size_tsize,ulongallocationtype,ulongpageprotection,[in,out,optional]mem_extended_parameter*extendedparameters,ulongparametercount"
108,Kernel32.dll,VirtualAllocFromApp,"[in,optional]pvoidbaseaddress,size_tsize,ulongallocationtype,ulongprotection"
109,Kernel32.dll,VirtualProtectFromApp,"pvoidaddress,size_tsize,ulongnewprotection,pulongoldprotection"
110,Kernel32.dll,CreateThread,"[in,optional]lpsecurity_attributeslpthreadattributes,size_tdwstacksize,lpthread_start_routinelpstartaddress,[in,optional]__drv_aliasesmemlpvoidlpparameter,dworddwcreationflags,[out,optional]lpdwordlpthreadid"
111,Kernel32.dll,WaitForSingleObject,"handlehhandle,dworddwmilliseconds"
112,Kernel32.dll,OpenProcess,"dworddwdesiredaccess,boolbinherithandle,dworddwprocessid"
113,Kernel32.dll,OpenFileMappingA,"dworddwdesiredaccess,boolbinherithandle,lpcstrlpname"
114,Kernel32.dll,GetProcessHeap,
115,Kernel32.dll,GetProcessHeaps,"dwordnumberofheaps,phandleprocessheaps"
116,Kernel32.dll,HeapAlloc,"handlehheap,dworddwflags,size_tdwbytes"
117,Kernel32.dll,HeapReAlloc,"handlehheap,dworddwflags,_frees_ptr_opt_lpvoidlpmem,size_tdwbytes"
118,Kernel32.dll,GlobalAlloc,"uintuflags,size_tdwbytes"
119,Advapi32.dll,AdjustTokenPrivileges,"handletokenhandle,booldisableallprivileges,[in,optional]ptoken_privilegesnewstate,dwordbufferlength,[out,optional]ptoken_privilegespreviousstate,[out,optional]pdwordreturnlength"
120,Advapi32.dll,CreateProcessAsUserA,"[in,optional]handlehtoken,[in,optional]lpcstrlpapplicationname,[in,out,optional]lpstrlpcommandline,[in,optional]lpsecurity_attributeslpprocessattributes,[in,optional]lpsecurity_attributeslpthreadattributes,boolbinherithandles,dworddwcreationflags,[in,optional]lpvoidlpenvironment,[in,optional]lpcstrlpcurrentdirectory,lpstartupinfoalpstartupinfo,lpprocess_informationlpprocessinformation"
121,Advapi32.dll,OpenProcessToken,"handleprocesshandle,dworddesiredaccess,phandletokenhandle"
122,Advapi32.dll,CreateProcessWithTokenW,"handlehtoken,dworddwlogonflags,[in,optional]lpcwstrlpapplicationname,[in,out,optional]lpwstrlpcommandline,dworddwcreationflags,[in,optional]lpvoidlpenvironment,[in,optional]lpcwstrlpcurrentdirectory,lpstartupinfowlpstartupinfo,lpprocess_informationlpprocessinformation"
123,Ntdll.dll,NtAdjustPrivilegesToken,NaN
124,Ntdll.dll,NtAllocateVirtualMemory,NaN
125,Ntdll.dll,NtContinue,NaN
126,Ntdll.dll,NtCreateProcess,NaN
127,Ntdll.dll,NtCreateProcessEx,NaN
128,Ntdll.dll,NtCreateSection,"phandlesectionhandle,access_maskdesiredaccess,[in,optional]pobject_attributesobjectattributes,[in,optional]plarge_integermaximumsize,ulongsectionpageprotection,ulongallocationattributes,[in,optional]handlefilehandle"
129,Ntdll.dll,NtCreateThread,NaN
130,Ntdll.dll,NtCreateThreadEx,NaN
131,Ntdll.dll,NtCreateUserProcess,NaN
132,Ntdll.dll,NtDuplicateObject,NaN
133,Ntdll.dll,NtMapViewOfSection,"handlesectionhandle,handleprocesshandle,[in,out]pvoid*baseaddress,ulong_ptrzerobits,size_tcommitsize,[in,out,optional]plarge_integersectionoffset,[in,out]psize_tviewsize,section_inheritinheritdisposition,ulongallocationtype,ulongwin32protect"
134,Ntdll.dll,NtOpenProcess,NaN
135,Ntdll.dll,NtOpenThread,"_out_phandlethreadhandle,_in_access_maskdesiredaccess,_in_pobject_attributesobjectattributes,_in_pclient_idclientid"
136,Ntdll.dll,NtProtectVirtualMemory,NaN
137,Ntdll.dll,NtQueueApcThread,NaN
138,Ntdll.dll,NtQueueApcThreadEx,NaN
139,Ntdll.dll,NtQueueApcThreadEx2,NaN
140,Ntdll.dll,NtReadVirtualMemory,NaN
141,Ntdll.dll,NtResumeThread,NaN
142,Ntdll.dll,NtUnmapViewOfSection,"handleprocesshandle,[in,optional]pvoidbaseaddress"
143,Ntdll.dll,NtWaitForMultipleObjects,NaN
144,Ntdll.dll,NtWaitForSingleObject,NaN
145,Ntdll.dll,NtWriteVirtualMemory,NaN
146,Ntdll.dll,RtlCreateHeap,"ulongflags,[in,optional]pvoidheapbase,[in,optional]size_treservesize,[in,optional]size_tcommitsize,[in,optional]pvoidlock,[in,optional]prtl_heap_parametersparameters"
147,Ntdll.dll,LdrLoadDll,NaN
148,Ntdll.dll,RtlMoveMemory,NaN
149,Ntdll.dll,RtlCopyMemory,NaN
150,User32.dll,SetPropA,"hwndhwnd,lpcstrlpstring,[in,optional]handlehdata"
151,Kernel32.dll,WaitForSingleObjectEx,"handlehhandle,dworddwmilliseconds,boolbalertable"
152,Kernel32.dll,WaitForMultipleObjects,"dwordncount,consthandle*lphandles,boolbwaitall,dworddwmilliseconds"
153,Kernel32.dll,WaitForMultipleObjectsEx,"dwordncount,consthandle*lphandles,boolbwaitall,dworddwmilliseconds,boolbalertable"
154,Kernel32.dll,KeInsertQueueApc,NaN
155,Kernel32.dll,Wow64SetThreadContext,"handlehthread,constcontext*lpcontext"
156,ntdll.dll,NtSuspendProcess,NaN
157,ntdll.dll,NtResumeProcess,NaN
158,Advapi32.dll,DuplicateToken,"handleexistingtokenhandle,security_impersonation_levelimpersonationlevel,phandleduplicatetokenhandle"
159,Ntdll.dll,NtReadVirtualMemoryEx,NaN
160,Kernel32.dll,CreateProcessInternal,NaN
161,Kernel32.dll,EnumSystemLocalesA,"locale_enumprocwlplocaleenumproc,dworddwflags"
162,Rpcrt4.dll,UuidFromStringA,"rpc_cstrstringuuid,uuid*uuid"
163,Kernel32.dll,CreateFileMappingA,"handlehfile,[in,optional]lpsecurity_attributeslpfilemappingattributes,dwordflprotect,dworddwmaximumsizehigh,dworddwmaximumsizelow,[in,optional]lpcstrlpname"
164,Kernel32.dll,DeleteFileA,lpcstrlpfilename
165,Kernel32.dll,GetModuleHandleA,"[in,optional]lpcstrlpmodulename"
166,Kernel32.dll,GetProcAddress,"hmodulehmodule,lpcstrlpprocname"
167,Kernel32.dll,LoadLibraryA,lpcstrlplibfilename
168,Kernel32.dll,LoadLibraryExA,"lpcstrlplibfilename,handlehfile,dworddwflags"
169,Kernel32.dll,LoadResource,"[in,optional]hmodulehmodule,hrsrchresinfo"
170,Kernel32.dll,SetEnvironmentVariableA,"lpcstrlpname,[in,optional]lpcstrlpvalue"
171,Kernel32.dll,SetFileTime,"handlehfile,[in,optional]constfiletime*lpcreationtime,[in,optional]constfiletime*lplastaccesstime,[in,optional]constfiletime*lplastwritetime"
172,Kernel32.dll,Sleep,dworddwmilliseconds
173,Kernel32.dll,WaitForSingleObject,"handlehhandle,dworddwmilliseconds"
174,Kernel32.dll,SetFileAttributesA,"lpcstrlpfilename,dworddwfileattributes"
175,Kernel32.dll,SleepEx,"dworddwmilliseconds,boolbalertable"
176,Ntdll.dll,NtDelayExecution,NaN
177,Ntdll.dll,NtWaitForMultipleObjects,NaN
178,Ntdll.dll,NtWaitForSingleObject,NaN
179,User32.dll,CreateWindowExA,"dworddwexstyle,[in,optional]lpcstrlpclassname,[in,optional]lpcstrlpwindowname,dworddwstyle,intx,inty,intnwidth,intnheight,[in,optional]hwndhwndparent,[in,optional]hmenuhmenu,[in,optional]hinstancehinstance,[in,optional]lpvoidlpparam"
180,User32.dll,RegisterHotKey,"[in,optional]hwndhwnd,intid,uintfsmodifiers,uintvk"
181,Winmm.dll,timeSetEvent,"uintudelay,uinturesolution,lptimecallbacklptimeproc,dword_ptrdwuser,uintfuevent"
182,Iphlpapi.dll,IcmpSendEcho,"handleicmphandle,ipaddrdestinationaddress,lpvoidrequestdata,wordrequestsize,[in,optional]pip_option_informationrequestoptions,lpvoidreplybuffer,dwordreplysize,dwordtimeout"
183,Kernel32.dll,WaitForSingleObjectEx,"handlehhandle,dworddwmilliseconds,boolbalertable"
184,Kernel32.dll,WaitForMultipleObjects,"dwordncount,consthandle*lphandles,boolbwaitall,dworddwmilliseconds"
185,Kernel32.dll,WaitForMultipleObjectsEx,"dwordncount,consthandle*lphandles,boolbwaitall,dworddwmilliseconds,boolbalertable"
186,Kernel32.dll,SetWaitableTimer,"handlehtimer,constlarge_integer*lpduetime,longlperiod,[in,optional]ptimerapcroutinepfncompletionroutine,[in,optional]lpvoidlpargtocompletionroutine,boolfresume"
187,Kernel32.dll,CreateTimerQueueTimer,"phandlephnewtimer,[in,optional]handletimerqueue,waitortimercallbackcallback,[in,optional]pvoidparameter,dwordduetime,dwordperiod,ulongflags"
188,Kernel32.dll,CreateWaitableTimer,"[in,optional]lpsecurity_attributeslptimerattributes,boolbmanualreset,[in,optional]lpcwstrlptimername"
189,Kernel32.dll,SetWaitableTimer,"handlehtimer,constlarge_integer*lpduetime,longlperiod,[in,optional]ptimerapcroutinepfncompletionroutine,[in,optional]lpvoidlpargtocompletionroutine,boolfresume"
190,User32.dll,SetTimer,"[in,optional]hwndhwnd,uint_ptrnidevent,uintuelapse,[in,optional]timerproclptimerfunc"
191,Ws2_32.dll,Select,"intnfds,[in,out]fd_set*readfds,[in,out]fd_set*writefds,[in,out]fd_set*exceptfds,consttimeval*timeout"
192,Advapi32.dll,ImpersonateLoggedOnUser,handlehtoken
193,Advapi32.dll,SetThreadToken,"[in,optional]phandlethread,[in,optional]handletoken"
194,Advapi32.dll,DuplicateToken,"handleexistingtokenhandle,security_impersonation_levelimpersonationlevel,phandleduplicatetokenhandle"
195,Kernel32.dll,SizeOfResource,"[in,optional]hmodulehmodule,hrsrchresinfo"
196,Kernel32.dll,LockResource,hglobalhresdata
197,Kernel32.dll,CreateProcessInternal,NaN
198,Winmm.dll,TimeGetTime,
199,Kernel32.dll,EnumSystemLocalesA,"locale_enumprocwlplocaleenumproc,dworddwflags"
200,Rpcrt4.dll,UuidFromStringA,"rpc_cstrstringuuid,uuid*uuid"
201,User32.dll,AttachThreadInput,"dwordidattach,dwordidattachto,boolfattach"
202,User32.dll,CallNextHookEx,"[in,optional]hhookhhk,intncode,wparamwparam,lparamlparam"
203,User32.dll,GetAsyncKeyState,intvkey
204,User32.dll,GetClipboardData,uintuformat
205,User32.dll,GetDC,hwndhwnd
206,User32.dll,GetDCEx,"hwndhwnd,hrgnhrgnclip,dwordflags"
207,User32.dll,GetForegroundWindow,
208,User32.dll,GetKeyboardState,pbytelpkeystate
209,User32.dll,GetKeyState,intnvirtkey
210,User32.dll,GetMessageA,"lpmsglpmsg,[in,optional]hwndhwnd,uintwmsgfiltermin,uintwmsgfiltermax"
211,User32.dll,GetRawInputData,"hrawinputhrawinput,uintuicommand,[out,optional]lpvoidpdata,[in,out]puintpcbsize,uintcbsizeheader"
212,User32.dll,GetWindowDC,hwndhwnd
213,User32.dll,MapVirtualKeyA,"uintucode,uintumaptype"
214,User32.dll,MapVirtualKeyExA,"uintucode,uintumaptype,[in,out,optional]hkldwhkl"
215,User32.dll,PeekMessageA,"lpmsglpmsg,[in,optional]hwndhwnd,uintwmsgfiltermin,uintwmsgfiltermax,uintwremovemsg"
216,User32.dll,PostMessageA,"[in,optional]hwndhwnd,uintmsg,wparamwparam,lparamlparam"
217,User32.dll,PostThreadMessageA,"dwordidthread,uintmsg,wparamwparam,lparamlparam"
218,User32.dll,RegisterHotKey,"[in,optional]hwndhwnd,intid,uintfsmodifiers,uintvk"
219,User32.dll,RegisterRawInputDevices,"pcrawinputdeviceprawinputdevices,uintuinumdevices,uintcbsize"
220,User32.dll,SendMessageA,"hwndhwnd,uintmsg,wparamwparam,lparamlparam"
221,User32.dll,SendMessageCallbackA,"hwndhwnd,uintmsg,wparamwparam,lparamlparam,sendasyncproclpresultcallback,ulong_ptrdwdata"
222,User32.dll,SendMessageTimeoutA,"hwndhwnd,uintmsg,wparamwparam,lparamlparam,uintfuflags,uintutimeout,[out,optional]pdword_ptrlpdwresult"
223,User32.dll,SendNotifyMessageA,"hwndhwnd,uintmsg,wparamwparam,lparamlparam"
224,User32.dll,SetWindowsHookExA,"intidhook,hookproclpfn,hinstancehmod,dworddwthreadid"
225,User32.dll,SetWinEventHook,"dwordeventmin,dwordeventmax,hmodulehmodwineventproc,wineventprocpfnwineventproc,dwordidprocess,dwordidthread,dworddwflags"
226,User32.dll,UnhookWindowsHookEx,hhookhhk
227,Gdi32.dll,BitBlt,"hdchdc,intx,inty,intcx,intcy,hdchdcsrc,intx1,inty1,dwordrop"
228,Gdi32.dll,StretchBlt,"hdchdcdest,intxdest,intydest,intwdest,inthdest,hdchdcsrc,intxsrc,intysrc,intwsrc,inthsrc,dwordrop"
229,User32.dll,GetKeynameTextA,"longlparam,lpstrlpstring,intcchsize"
230,Kernel32.dll,WinExec,"lpcstrlpcmdline,uintucmdshow"
231,Wininet.dll,FtpPutFileA,"hinternethconnect,lpcstrlpszlocalfile,lpcstrlpsznewremotefile,dworddwflags,dword_ptrdwcontext"
232,Wininet.dll,HttpOpenRequestA,"hinternethconnect,lpcstrlpszverb,lpcstrlpszobjectname,lpcstrlpszversion,lpcstrlpszreferrer,lpcstr*lplpszaccepttypes,dworddwflags,dword_ptrdwcontext"
233,Wininet.dll,HttpSendRequestA,"hinternethrequest,lpcstrlpszheaders,dworddwheaderslength,lpvoidlpoptional,dworddwoptionallength"
234,Wininet.dll,HttpSendRequestExA,"hinternethrequest,lpinternet_buffersalpbuffersin,lpinternet_buffersalpbuffersout,dworddwflags,dword_ptrdwcontext"
235,Wininet.dll,InternetCloseHandle,hinternethinternet
236,Wininet.dll,InternetOpenA,"hinternethinternet,lpcstrlpszurl,lpcstrlpszheaders,dworddwheaderslength,dworddwflags,dword_ptrdwcontext"
237,Wininet.dll,InternetOpenUrlA,"hinternethinternet,lpcstrlpszurl,lpcstrlpszheaders,dworddwheaderslength,dworddwflags,dword_ptrdwcontext"
238,Wininet.dll,InternetReadFile,"hinternethfile,lpvoidlpbuffer,dworddwnumberofbytestoread,lpdwordlpdwnumberofbytesread"
239,Wininet.dll,InternetReadFileExA,"hinternethfile,lpinternet_buffersalpbuffersout,dworddwflags,dword_ptrdwcontext"
240,Wininet.dll,InternetWriteFile,"hinternethfile,lpvoidlpbuffer,dworddwnumberofbytestoread,lpdwordlpdwnumberofbytesread"
